date,applicant,arrival,benefit,control,border,business,citizenship,compensation,consulate,contract,customs,deportation,diaspora,discriminate,doctor,earning,economy,embassy,emigrant,emigrate,emigration,employer,employment,foreigner,GDP,hospital,hiring,illegal,immigrant,immigrate,immigration,income,inflation,internship,job,labor,layoff,legalization,medical school,medicine,migrant,migrate,migration,minimum,nationality,naturalization,nurse,nursing school,passport,payroll,pension,quota,recession,recruitment,refugee,remuneration,required documents,salary,tax,tourist,unauthorized,undocumented,unemployment,union,unskilled,vacancy,visa,waiver,wage,welfare
2017-08-01,42,39,50,58,95,80,54,74,24,74,63,6,7,40,50,39,28,30,19,0,17,67,54,32,41,80,73,69,38,25,33,71,12,24,62,39,11,9,43,66,20,46,46,70,33,15,37,8,46,36,68,51,8,45,6,31,19,62,37,78,39,0,56,65,20,48,80,66,46,49
2017-09-01,43,34,52,60,88,77,61,67,28,87,60,6,15,24,50,38,29,31,0,48,35,62,54,49,40,85,72,64,25,16,37,64,8,24,64,49,12,25,48,79,31,56,57,85,32,15,38,8,49,29,67,69,10,55,7,45,39,64,38,79,34,0,50,72,0,38,83,61,88,55
2017-10-01,47,36,46,58,83,74,63,68,31,79,56,18,15,29,67,43,27,33,19,31,6,63,54,100,33,87,64,51,32,16,36,66,10,27,58,44,6,30,35,67,32,63,61,92,38,22,38,8,50,33,72,44,10,46,8,35,42,64,42,84,45,24,36,72,10,38,82,69,92,59
2017-11-01,46,36,45,58,79,74,53,55,34,73,64,18,7,35,60,37,29,28,28,0,34,50,42,84,47,84,56,52,22,22,34,66,10,33,55,38,23,19,34,67,38,42,47,75,45,11,37,7,50,32,66,56,15,40,10,32,38,63,48,77,30,0,32,76,10,38,78,58,68,40
2017-12-01,35,36,42,56,67,55,48,60,27,59,38,19,6,24,92,43,26,23,0,16,12,51,39,97,45,72,43,44,25,10,29,62,10,23,42,31,6,9,22,64,18,52,34,70,36,4,31,7,51,26,69,56,8,34,9,21,10,52,75,70,30,26,29,75,11,24,64,58,52,32
2018-01-01,100,34,43,56,84,85,75,76,31,76,39,17,11,27,94,35,32,33,9,0,27,67,55,72,51,84,77,49,26,6,41,74,12,29,65,43,38,22,40,71,21,39,48,82,45,14,40,7,100,36,81,59,14,60,14,41,48,83,100,81,41,46,35,78,0,44,91,73,72,40
2018-02-01,75,42,51,55,87,83,78,72,46,76,42,25,11,0,71,33,34,35,19,0,6,78,63,47,44,80,74,54,31,16,38,77,13,29,63,42,24,16,47,70,26,52,42,80,29,19,40,8,60,32,77,67,7,50,12,41,43,70,53,81,27,25,47,85,21,44,83,65,63,54
2018-03-01,59,38,44,54,95,75,61,59,37,75,33,40,10,27,58,24,25,30,0,0,22,61,55,41,43,78,67,55,30,27,33,66,13,40,64,36,5,27,69,70,21,56,35,89,42,21,39,10,53,31,76,73,12,53,5,30,27,64,43,91,27,70,30,96,19,38,83,38,55,45
2018-04-01,57,50,42,49,57,58,40,49,41,72,36,6,9,17,68,44,15,32,19,15,28,60,49,40,31,84,79,33,35,6,32,68,9,35,67,46,6,7,45,66,17,60,32,79,41,11,34,10,61,35,84,60,9,54,6,39,28,74,46,80,19,49,20,100,0,48,89,59,62,35
2018-05-01,57,36,34,47,58,55,57,67,30,73,34,23,3,11,90,41,20,30,0,0,11,68,42,29,38,83,74,31,27,24,40,48,10,33,63,44,11,8,52,62,28,59,33,91,42,35,34,18,71,30,86,59,10,51,9,22,35,75,33,73,45,0,14,93,19,42,83,67,94,31
2018-06-01,54,32,41,50,88,69,52,44,44,79,36,22,8,26,62,24,28,26,0,56,5,59,49,31,31,81,75,43,29,12,36,49,17,30,61,34,21,10,41,66,29,53,36,73,45,20,37,11,100,31,71,60,8,43,8,21,47,70,28,64,25,22,33,84,27,42,80,65,76,51
2018-07-01,49,39,49,54,96,76,65,62,33,89,43,10,13,49,60,31,47,27,24,13,0,68,56,31,37,84,68,62,31,24,41,62,21,28,59,39,19,25,42,77,32,63,53,88,46,19,37,8,75,30,69,62,9,47,8,30,20,75,35,72,24,62,43,76,25,42,77,62,80,40
2018-08-01,42,41,48,62,100,77,78,72,28,78,53,21,10,35,52,41,35,25,8,39,19,70,53,28,44,85,67,68,21,24,36,71,24,21,57,46,10,20,41,75,26,58,59,91,44,22,39,14,52,33,70,36,8,46,9,27,32,71,33,78,30,0,50,78,17,41,74,64,79,66
2018-09-01,35,32,51,55,85,73,78,65,30,84,48,21,8,45,52,36,35,26,24,27,20,64,46,27,55,78,60,61,20,19,30,63,100,20,56,49,0,31,36,65,44,53,55,89,45,10,33,7,47,27,64,61,12,43,8,45,57,67,33,67,38,43,58,70,44,34,75,53,77,57
2018-10-01,52,35,47,55,88,71,93,68,37,89,54,16,8,45,51,40,32,25,24,0,20,58,48,26,37,79,58,66,20,14,34,71,56,23,55,42,29,27,44,70,41,58,63,82,36,19,36,9,39,33,80,59,11,47,11,24,36,64,37,73,24,63,48,71,0,41,70,72,79,51
2018-11-01,36,42,49,53,86,72,67,70,35,73,55,16,8,31,53,37,32,23,8,14,21,54,49,28,73,78,51,56,20,23,31,65,30,31,55,42,15,19,50,72,36,42,44,91,61,3,39,14,36,33,79,43,12,38,13,21,13,68,34,71,21,0,42,77,9,38,69,57,89,43
2018-12-01,30,51,39,49,59,55,44,50,26,60,31,39,15,21,48,24,23,17,0,14,21,46,30,23,29,66,36,31,21,15,27,47,18,22,38,28,21,24,36,69,14,42,38,67,52,24,31,10,28,35,80,47,8,26,9,18,13,57,30,58,18,0,29,80,9,20,58,36,61,30
2019-01-01,68,41,48,57,74,80,96,62,25,80,38,40,7,52,58,38,31,27,0,25,23,61,51,33,56,89,70,52,29,16,38,70,22,27,57,38,23,65,52,85,35,42,47,96,59,46,39,15,46,40,87,64,11,44,7,26,31,85,45,75,27,60,48,76,8,36,83,51,86,49
2019-02-01,51,40,53,57,93,80,84,72,38,91,42,43,8,31,59,39,30,26,17,27,25,72,54,36,50,88,65,65,25,14,36,64,21,25,59,40,20,100,49,76,20,48,50,93,52,42,44,10,40,34,78,77,12,47,6,21,29,79,40,72,31,0,53,81,9,32,79,54,75,50
2019-03-01,42,40,49,59,95,76,72,67,24,83,38,29,12,19,56,35,28,26,0,25,19,70,57,26,46,84,62,52,24,29,37,77,19,35,59,38,23,75,53,78,29,48,48,83,51,12,40,14,35,37,76,89,16,45,5,35,27,78,38,73,28,99,45,84,8,34,80,53,67,51
2019-04-01,48,40,43,50,58,56,69,71,28,75,29,27,3,16,60,41,20,29,8,14,26,66,45,30,36,75,61,45,21,23,34,69,10,27,51,41,10,19,50,73,16,59,38,76,48,23,34,17,32,36,100,78,10,41,7,25,25,77,38,73,35,0,17,98,0,28,81,62,63,42
2019-05-01,40,31,37,48,58,57,75,59,38,77,32,10,10,24,54,32,19,26,15,25,9,75,47,21,34,78,65,34,25,16,38,56,7,29,58,39,28,12,45,69,14,100,44,85,48,15,34,15,35,35,81,41,5,44,5,26,23,90,34,63,20,0,24,89,0,29,77,49,66,47
2019-06-01,44,42,47,52,89,76,62,52,37,87,35,19,7,32,53,39,28,26,15,0,27,67,52,30,29,82,68,46,27,18,41,55,16,29,58,34,4,14,54,71,14,53,33,82,67,17,40,18,37,37,84,42,11,47,8,25,18,85,34,61,27,39,29,84,8,31,80,48,63,47
2019-07-01,43,38,53,54,94,79,76,76,35,90,46,13,13,56,62,27,44,23,14,11,30,80,56,24,37,84,66,64,23,21,39,73,15,25,57,38,17,33,56,78,22,52,61,91,58,16,43,14,33,38,81,73,8,50,5,35,35,87,36,69,26,18,54,77,15,33,73,40,66,55
2019-08-01,44,42,54,58,92,74,86,63,40,80,49,14,19,35,64,52,37,22,14,35,17,74,52,31,41,84,61,59,24,17,32,76,13,20,52,42,4,24,43,81,25,64,61,79,50,17,32,14,31,39,66,71,19,44,9,12,43,75,33,69,36,19,48,80,8,29,78,60,58,52
2019-09-01,34,35,50,60,94,77,82,73,36,89,58,18,19,52,59,41,39,26,28,11,21,85,51,28,59,88,62,70,23,29,43,74,15,24,65,49,9,63,36,83,43,56,66,88,53,8,35,11,32,38,66,58,13,43,9,50,42,76,37,69,45,18,49,76,15,35,81,55,80,73
2019-10-01,48,41,52,56,84,77,81,79,34,84,43,22,6,52,61,32,30,26,14,11,30,70,52,27,45,85,57,68,22,17,41,66,11,20,53,44,25,58,46,81,24,48,82,85,48,16,37,8,33,41,76,55,17,40,12,20,24,80,39,75,43,36,52,83,15,24,85,55,69,58
2019-11-01,38,39,55,57,83,78,81,65,36,79,54,27,16,39,57,27,35,23,21,23,17,75,47,28,72,76,52,58,18,12,34,76,15,18,46,39,13,29,43,78,34,49,56,79,56,25,35,11,32,46,85,54,19,40,5,26,45,78,38,71,31,37,44,84,0,23,76,50,62,46
2019-12-01,22,43,36,47,61,52,67,57,22,61,33,5,3,27,52,29,24,19,0,0,13,50,33,28,34,68,34,42,11,17,33,46,10,14,34,30,18,23,22,77,20,63,48,68,53,6,30,10,29,44,73,36,11,22,6,21,33,69,29,61,30,19,21,89,8,25,72,35,58,32
2020-01-01,70,42,46,55,74,81,91,66,44,87,37,17,16,24,73,27,31,24,19,21,20,83,50,28,55,95,67,55,21,22,38,76,17,23,55,39,0,18,37,82,35,52,47,93,63,18,40,11,44,54,83,59,12,49,15,33,32,100,45,74,39,17,44,91,14,28,89,63,97,46
2020-02-01,67,31,55,61,86,87,98,85,32,95,40,13,19,47,82,34,41,26,0,34,29,84,60,25,54,89,61,75,18,30,39,85,15,23,57,47,29,43,49,85,39,41,69,100,66,30,45,12,32,52,67,81,19,57,13,35,34,87,45,71,41,36,59,94,29,31,73,65,81,69
2020-03-01,35,23,49,60,70,69,77,69,38,74,37,25,21,65,95,54,34,18,0,22,28,81,57,28,38,100,38,58,23,9,32,69,11,15,41,46,48,21,49,100,19,53,56,85,61,10,43,6,14,63,68,74,99,33,15,44,39,74,32,41,35,0,51,92,21,18,41,48,64,55
2020-04-01,18,14,49,54,42,51,43,51,26,72,26,24,7,45,100,48,26,10,15,36,0,89,38,33,40,84,19,44,18,17,19,56,9,9,31,49,53,5,52,96,33,53,28,78,77,0,44,14,7,100,73,37,100,23,11,12,15,74,26,24,44,38,40,80,16,15,29,33,86,46
2020-05-01,29,14,46,58,45,67,63,51,17,83,27,30,10,66,79,65,31,11,7,22,20,92,40,30,50,81,35,47,14,9,25,63,7,18,39,100,98,10,53,81,21,54,41,79,85,3,40,21,10,52,64,42,55,25,11,17,7,71,30,22,25,52,40,78,7,16,26,40,75,43
2020-06-01,27,18,52,56,51,67,86,55,22,84,37,30,14,61,66,51,21,14,7,11,12,100,38,28,28,83,50,41,23,11,29,65,6,15,44,29,52,4,39,77,12,59,35,81,93,13,38,14,15,44,66,58,37,26,16,33,49,73,34,19,50,17,76,75,7,27,26,64,43,46
2020-07-01,30,18,54,55,56,66,60,59,28,86,32,0,8,64,60,100,20,13,19,32,20,93,36,26,28,90,45,52,17,24,28,53,8,14,41,32,67,5,49,85,17,73,26,80,83,18,37,14,15,44,54,53,35,32,11,19,10,82,30,18,36,34,72,83,14,22,31,42,43,38
2020-08-01,35,20,58,53,52,66,54,46,22,78,42,11,8,70,66,91,28,12,6,10,14,67,32,27,48,76,39,45,18,14,28,62,8,12,38,31,36,6,48,80,17,63,34,78,81,5,40,12,13,37,47,51,64,24,12,30,44,78,26,19,44,15,75,77,6,18,27,55,39,49
2020-09-01,35,24,76,73,55,90,93,87,20,100,54,31,20,97,63,74,72,13,11,18,39,74,40,26,45,72,46,62,16,15,29,92,15,15,45,46,43,11,36,79,22,59,48,83,88,13,50,11,15,36,46,59,35,31,7,59,46,73,31,34,52,14,100,70,23,23,28,47,47,99
2020-10-01,37,33,100,88,59,100,96,72,19,100,60,22,18,100,67,99,100,10,0,24,21,71,41,27,44,68,38,81,13,10,27,100,16,10,42,50,33,17,46,82,51,67,70,85,100,23,46,8,15,35,65,52,29,27,8,39,44,67,28,43,100,0,91,68,31,19,24,51,44,89
2020-11-01,36,32,81,82,56,84,100,72,16,90,41,26,14,63,66,71,68,10,11,37,42,70,41,23,48,65,40,97,22,27,34,85,10,10,41,41,21,25,41,79,37,64,75,98,86,31,43,12,20,44,58,46,17,27,9,50,51,69,30,47,54,45,96,66,18,19,24,50,53,99
2020-12-01,32,27,71,75,50,72,85,78,17,93,39,19,12,84,64,61,42,9,29,29,43,66,36,27,43,67,33,74,21,18,26,82,12,9,36,35,18,21,32,80,44,60,76,94,89,14,49,8,21,43,58,63,12,23,13,22,44,69,30,42,49,31,87,70,13,20,22,36,50,100
